Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Cuts-men,white-s-s-henley-elongated,White S/S Henley Elongated,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This short-sleeve gives a bold and sophisticated look. The Henley collar offers an outstanding compliment to the bottom Elongated CUT. Fate favors the bold! Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/white-s-s-henley-elongated,,,,1,,deny,manual,58,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/SHT_SSHELONGFIT_WHT.png?v=1566071200,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,white-s-s-henley-elongated,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS_8.10.18-204_4399a20c-334c-45e0-8142-910a7ccb80f0.jpg?v=1566071645,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,white-s-s-henley-elongated,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS_8.10.18-212.jpg?v=1566071200,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-crew-curve-hem,Saddle Crew Curve-Hem,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>An elevated regular bottom cut but that has a slightly less elongated curve designed for everyday wear. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/saddle-crew-curve-hem,,,,1,,deny,manual,48,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/saddle-crew-curve.jpg?v=1573067245,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0696.jpg?v=1573067245,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0695.jpg?v=1573067245,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0674.jpg?v=1573067245,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,short-sleeve-henley-elongated-green,Heather Green S/S Henley Elongated,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This short-sleeve gives a bold and sophisticated look. The Henley collar offers an outstanding compliment to the bottom Elongated CUT. Fate favors the bold! Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/short-sleeve-henley-elongated-green,,,,1,,deny,manual,58,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/GREEN-SS-HENLEY-ELONGATED.png?v=1565744619,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-crew-elongated,Heather Green Crew Elongated,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Crafted with the modern man in mind, this CUT demonstrates true class with an urban feel. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/green-crew-elongated,,,,1,,deny,manual,48,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Crew-Elongated-Tee-Green.jpg?v=1561742536,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-crew-elongated,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS_Clothing-2019-06-11_On_Model_23588.jpg?v=1561742536,2,,,,,,,,,,,,,,,,,,,,,,
