Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
The Normal Brand-men,mountain-overshirt-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-85.png?v=1569860905,3,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-89.png?v=1569860905,4,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,Mountain Overshirt - Red,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit, and layers like a jacket. Thick yarns make it perfect for the outdoors. The Mountain Shirt was intended to be taken anywhere. It's finished off with an acid wash for a perfectly imperfect vintage look.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Woven,"normal, shirt",,Title, Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-red,,,,1,,deny,manual,99,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-90.png?v=1573228003,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-88.png?v=1569951951,2,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-85.png?v=1569951951,3,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-95.png?v=1569951951,4,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-93.png?v=1569951951,5,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-86.png?v=1569951951,6,,,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-mist,Mountain Overshirt - Mist,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit, and layers like a jacket. Thick yarns make it perfect for the outdoors. The Mountain Shirt was intended to be taken anywhere. It's finished off with an acid wash for a perfectly imperfect vintage look.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Woven,"normal, shirt",,Title, Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-mist,,,,1,,deny,manual,82,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-212.png?v=1568668569,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-mist,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-200.png?v=1568668569,2,,,,,,,,,,,,,,,,,,,,,,
