Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Johnnie-O-men,dale-t-shirt-malibured,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_MALIBU_RED_Detail_SM_Grey.jpg?v=1573836159,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-malibured,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_MALIBU_RED_Front_flt_SM_Grey.jpg?v=1573836159,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-steel,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289134026821,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_STEEL_Front_SM_Grey.jpg?v=1573836159,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-steel,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_STEEL_Detail_SM_Grey.jpg?v=1573835845,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-steel,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_STEEL_Front_flt_SM_Grey.jpg?v=1573835845,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-tang,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289134190661,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_TANGERINE_Front_SM_Grey.jpg?v=1573835845,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-tang,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_TANGERINE_Detail_SM_Grey.jpg?v=1573835845,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-tang,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_TANGERINE_Front_flt_SM_Grey.jpg?v=1573835845,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-white,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289134518341,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WHITE_Front_SM_Grey.jpg?v=1573835845,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WHITE_Detail_SM_Grey.jpg?v=1573835845,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WHITE_Front_flt_SM_Grey.jpg?v=1573835845,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-wake,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289134354501,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WAKE_Front_SM_Grey.jpg?v=1573835845,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-wake,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WAKE_Detail_SM_Grey.jpg?v=1573835845,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-wake,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_WAKE_Front_flt_SM_Grey.jpg?v=1573835845,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-wake,Del PREP-FORMANCE 1/4 Zip Pullover Vest,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The latest and greatest! Our new Prep-Formance vest is ready to keep you comfortable on the course and on those days where the weather can't quite make up its mind.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MVT,"johnnie-o, outerwear",,Title, Default Title,Link,https://www.johnnie-o.com/products/del-1-4-zip-pullover-vest?variant=30108841771077,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WAKE_Front_SM_GRAY.jpg?v=1573756439,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-wake,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WAKE_Front_flt_SM_GRAY.jpg?v=1570560541,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-wake,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WAKE_BACK_Sm_Gray.jpg?v=1570560541,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-white,Del PREP-FORMANCE 1/4 Zip Pullover Vest,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The latest and greatest! Our new Prep-Formance vest is ready to keep you comfortable on the course and on those days where the weather can't quite make up its mind.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MVT,"johnnie-o, outerwear",,Title, Default Title,Link,https://www.johnnie-o.com/products/del-1-4-zip-pullover-vest?variant=30108841934917,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WHITE_Front_SM_GRAY.jpg?v=1570560541,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WHITE_Front_flt_SM_GRAY.jpg?v=1570560541,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,del-1-4-zip-pullover-vest-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMVT1270_DEL_Mens_VEST_WHITE_Back_Sm_Gray.jpg?v=1570560541,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,Burns Jacket,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Every guy needs a full zip hoodie, especially one as comfortable as this one.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,,"johnnie-o, outerwear",,Title, Default Title,Link,https://www.johnnie-o.com/products/burns-jacket,,,,1,,deny,manual,115,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMKO1360_BURNS_Mens_LAYERING_TWILIGHT_Front_SM_Grey.jpg?v=1572465496,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/image_2d39fcb8-f7c2-46c8-8fc7-2f20d8065d01.png?v=1572465496,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/image_9be4c85f-8f0f-44ea-8082-e1857413b2b4.png?v=1572465496,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/swt--burns_cloudbreak_84241290-9c53-4731-acb4-ffdd0467e2b7.png?v=1572465496,4,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMKO1360_BURNS_Mens_LAYERING_TWILIGHT_Back_SM_Grey.jpg?v=1572462959,5,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMKO1360_BURNS_Mens_LAYERING_TWILIGHT_Detail_SM_Grey.jpg?v=1572462971,6,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMKO1360_BURNS_Mens_LAYERING_TWILIGHT_Front_flt_SM_Grey.jpg?v=1572462978,7,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,burns-jacket,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/swt--burns_pacific.png?v=1572462948,8,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-laser,Andros Half Elastic Surf Short,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We've re-engineered our swim and we are pretty darn happy with how they turned out! The half elastic allows you to jump off the high dive without losing your trunks and the board short front allows you to still look cool doing it. We've also added a small loop on the back, so you can easily hang your trunks after a dip, plus the new quick dry feature will have them ready for round two in a jiffy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MSS,"johnnie-o, bottoms",,Title, Default Title,Link,https://www.johnnie-o.com/products/andros-half-elastic-surf-short?variant=30108843212869,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_LASER_Front_SM_GRAY.jpg?v=1569437792,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-laser,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_LASER_Back_SM_GRAY.jpg?v=1569437792,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-laser,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_LASER_Front_flt_SM_GRAY.jpg?v=1569437792,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-laser,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_LASER_Back_flt_SM_GRAY.jpg?v=1569437792,4,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-laser,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_LASER_Detail_SM_GRAY.jpg?v=1569437792,5,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-marlin,Andros Half Elastic Surf Short,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We've re-engineered our swim and we are pretty darn happy with how they turned out! The half elastic allows you to jump off the high dive without losing your trunks and the board short front allows you to still look cool doing it. We've also added a small loop on the back, so you can easily hang your trunks after a dip, plus the new quick dry feature will have them ready for round two in a jiffy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MSS,"johnnie-o, bottoms",,Title, Default Title,Link,https://www.johnnie-o.com/products/andros-half-elastic-surf-short?variant=30108843376709,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_MARLIN_Front_SM_GRAY.jpg?v=1569437792,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-marlin,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_MARLIN_Back_SM_GRAY.jpg?v=1570472456,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,andros-half-elastic-surf-short-marlin,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMSS1730_ANDROS_Mens_SWIM_MARLIN_Front_flt_SM_GRAY.jpg?v=1570472363,3,,,,,,,,,,,,,,,,,,,,,,
