Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-F_682a2339-8daf-442a-9418-c2f265330ce0.jpg?v=1568227845,3,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-L1_870f8791-5f59-46da-8d33-2473a386547a.jpg?v=1568227845,4,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-FCU_11c45b04-cfdf-4087-8bc4-dc030fa58cfe.jpg?v=1568227845,5,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-SP1_ea103328-943c-4fda-951d-0765ef5e29a1.jpg?v=1568227845,6,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-SP2_c08c010d-1a1d-4f97-a448-ae98498fc450.jpg?v=1568227845,7,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-S_aa8936ec-9c65-407c-859a-6ecb82787485.jpg?v=1568227845,8,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-D2_7463adb3-77d8-4614-9c67-f4a99ab7d92e.jpg?v=1568227845,9,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-L2_4af7a03d-baef-412d-add7-19aadc3dc50f.jpg?v=1568227845,10,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TWPants_pouch_41853de1-2ac3-4a03-89ec-de4152252de4.jpg?v=1568227845,11,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-extra-trim-performance-pants,Navy Extra Trim // Performance Pants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Non-Iron\n	•	Dynamic 4-way Stretch\n	•	Shirt-Gripping Waistband\n	•	Sweat-wicking\n	•	Hyper-breathable\n	•	Media & Zippered Travel Pockets\n	•	Travel Pouch\n	•	Performance Fabric: Taslan/Spandex/Polyamide\nAmbition never stops moving. Our pants combine the functionality of joggers with the refined style of tailored trousers. Cut from non-iron performance fabric with the perfect amount of stretch, each pair features a shirt-gripping waistband and folds easily into its travel pouch (included). Who wears the pants around here? You do, and you’ll love them.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Guaranteed Fit! FREE US shipping and returns for 30 days.</sectionBody></section></sections>",Twillory-men,Performance Pants,"twillory, pants",,Title, Default Title,Link,https://www.twillory.com/products/navy-extra-trim-performance-pants,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001X-M1500_4c8f069c-2f7d-476f-83d4-845c47223f04.jpg?v=1568227931,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-extra-trim-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001X-21500_4c97d973-407a-487b-bd71-e33b69b38b71.jpg?v=1568227931,2,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-extra-trim-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001X-S1_3f35ba08-2918-4ac1-bfde-a8ee812bf024.jpg?v=1568227931,3,,,,,,,,,,,,,,,,,,,,,,
