Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Outerknown-men,evolution-shirt-jacket-bright-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/3389ef42214bb3e969662fb93501a982.jpg?v=1573020600,7,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,evolution-shirt-jacket-bright-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/ca7f4696aa25b6926cc67085b3ee0ba8.png?v=1517956187,8,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,Ascent Fleece Sweatpants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Exactly what you want after a frigid surf sesh or getting in from the mountain. \n	•	Warm up in these cozy recycled polyester polar fleece pants. \n	•	With an elastic waistband they’re real easy to pull on and off. \n	•	Front slash pockets and a back zip pocket, so they’re more functional than your average sweats and you might even consider wearing them out. \n	•	We make a crewneck in this same fabric too. \n	•	Signature OK patch.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Pants,"outerknown, sweatshirts, pants",,Title, Default Title,Link,https://www.outerknown.com/products/ascent-fleece-sweatpants-denim,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_DEN_f_pdp.jpg?v=1571343094,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascentfleecesweatpant_den_0212_pdp.jpg?v=1571343094,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_DEN_2_pdp.jpg?v=1571343094,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_DEN_3_pdp.jpg?v=1571343094,4,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_DEN_4_pdp.jpg?v=1571343094,5,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_DEN_swt.png?v=1571343116,6,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,Ascent Fleece Sweatpants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Exactly what you want after a frigid surf sesh or getting in from the mountain.\n	•	Warm up in these cozy recycled polyester polar fleece pants.\n	•	With an elastic waistband they’re real easy to pull on and off.\n	•	Front slash pockets and a back zip pocket, so they’re more functional than your average sweats and you might even consider wearing them out.\n	•	We make a crewneck in this same fabric too.\n	•	Signature OK patch.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Pants,"outerknown, sweatshirts, pants",,Title, Default Title,Link,https://www.outerknown.com/products/ascent-fleece-sweatpants-ember,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_EBR_f_pdp.jpg?v=1571343083,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascentfleecesweatpant_ebr_0189_pdp.jpg?v=1571343083,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_EBR_2_pdp.jpg?v=1571343083,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_EBR_3_pdp.jpg?v=1571343082,4,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_EBR_4_pdp.jpg?v=1571343082,5,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_EBR_swt.png?v=1571343090,6,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,Ascent Fleece Sweatpants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Exactly what you want after a frigid surf sesh or getting in from the mountain.\n	•	Warm up in these cozy recycled polyester polar fleece pants.\n	•	With an elastic waistband they’re real easy to pull on and off.\n	•	Front slash pockets and a back zip pocket, so they’re more functional than your average sweats and you might even consider wearing them out.\n	•	We make a crewneck in this same fabric too.\n	•	Signature OK patch.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Pants,"outerknown, sweatshirts, pants",,Title, Default Title,Link,https://www.outerknown.com/products/ascent-fleece-sweatpants-mangrove,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_MNG_f_pdp.jpg?v=1571343034,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascentfleecesweatpant_mng__15_pdp.jpg?v=1571343034,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_MNG_2_pdp.jpg?v=1571343034,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_MNG_3_pdp.jpg?v=1571343034,4,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1620014_outerknown_ascent_fleece_pant_MNG_4_pdp.jpg?v=1571343034,5,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-sweatpants-mangrove,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_MNG_swt_f4acdcd3-b225-4237-a991-f914e89f1d36.png?v=1571343077,6,,,,,,,,,,,,,,,,,,,,,,
